@relation training6

@attribute GNoAffS numeric
@attribute GVL numeric
@attribute GFTime numeric

@data
0.190263,0,0.022092
0.296076,0.731707,0.009651
0.262792,0.966741,0.00814
0,0.991131,0.847642
0.212618,0.913525,0.024305
0.435668,0.532151,0.170449
0.297069,0.720621,0.010596
0.20467,0.898004,0.021953
0.561351,0.833703,0.139721
0.517635,0.011086,1
0.296076,0.709534,0.010008
0.31073,0.960089,0.011253
0.028813,1,0.902087
0.426478,0.873614,0.021019
0.01689,0.991131,0.846662
0.300298,0.911308,0.011507
0.261798,0.889135,0.013421
0.277198,0.436807,0.009201
0.590889,0,0.089221
0.310118,0.912442,0.022582
0.13053,0.97235,0.627287
0.350854,0.894009,0.301148
0.363995,0.677419,0.056372
1,0.27957,0.117836
0.409987,0.950845,0.051612
0.281209,0.912442,0.016051
0.932545,0.403994,0.119303
0.286903,0.989247,0.018597
0.088918,0.854071,0.18096
0.375821,0.990783,0.051972
0.874726,0.359447,0.118223
0.281209,0.912442,0.014806
0.132282,0.821813,0.034316
0.326325,0.382488,0.306185
0.094174,0.886329,0.009132
0.106001,0.72043,0.041981
0.232151,1,0.026761
0.189663,0.623656,0.055929
0.955322,0.50384,0.115345
0.261498,0.984639,0.023025
0.901883,0.27957,0.111609
0.934297,0.411674,0.113187
0.104249,0.396313,0.181182
0.615418,0.700461,0.088557
0,0.933948,0.03498
0.48007,0.947773,1
0.181778,0.895545,0
0.348226,0.984639,0.016245
0.159353,0.251401,0.413765
0.459584,0.771017,0.959914
0.960162,0.665332,0.337596
0.030023,0.345877,0.012369
0.756351,0.777422,0.101083
0.553695,0.482786,0.666608
0.017321,0.606085,0.019538
0.527714,0.455564,0.652743
0.076212,0.057646,0.002102
0.114896,0.603683,0.01501
0.122402,0.472378,0.006939
0.061201,0.590873,0.015617
0.636836,0.938351,0.298035
0.09642,0.626902,0.014054
0.527714,1,0.958513
0.454388,0.942354,0.999946
0,0.59968,0.019794
0.524827,0.43715,0.665032
0.017321,0,0
1,0.27542,0.345209
0.088337,0.606886,0.018406
0.551963,0.980785,0.956115
0.092379,0.603683,0.014619
0.644342,0.698959,0.959685
0.545035,0.38751,0.663927
0.474018,0.893515,1
0.469977,0.759808,0.943961
0.497691,0.43715,0.652689
0.741917,0,0.302509
0.452079,0.905524,0.967716
0.281768,0.995192,0.089179
0.516412,0.997596,0.109087
0.413065,0.995192,0.024419
0.000325,0.6875,0.999953
0.430289,0.995192,0.052223
0.261618,0.995192,0.108009
0.000325,0.737981,0.999977
0.338642,0.879808,0.025286
0,0.6875,0.999988
0,0.6875,1
0.471888,0.995192,0.108759
0.342216,0.995192,0.22716
0.528762,0.182692,0.024278
0.490738,0.951923,0.021384
1,0.980769,0.010018
0.398765,1,0.108794
0.503737,0.947115,0.051333
0.490738,0.995192,0.023774
0.276568,0.887019,0.999941
0.441014,0.990385,0.105489
0.516737,0.995192,0.107353
0.516737,0.995192,0.110598
0.516412,0.995192,0.106814
0.349366,0.560096,0.226621
0.528762,0,0.021923
0.472213,1,0.108841
0.471888,0.911058,0.111653
0.510887,0.995192,0.093034
0.528762,0.951923,0.026364
0.487813,0.944712,0
0.165017,0.32357,0.446375
0.176106,0.446304,0.452819
0.359008,0.461646,1
0.866937,0.46304,0.593079
0.21581,0.960948,0.080301
0.132109,0.900976,0.085614
0.983188,0.53417,0.137007
0.151663,0.444909,0.446092
0.254322,0.555091,0.167088
0.414809,1,0.191673
0.206629,0.475593,0.459546
0.174317,0.417015,0.441425
0.414809,0.938633,0.196016
0.175271,0.979079,0.078948
0.38357,0.993026,0.199208
0.189579,0.343096,0.449486
0.975319,0.460251,0.128987
0.169071,0.960948,0.087271
0.186718,0.331939,0.45696
0.177894,0.541144,0.442355
1,0.863319,0.13028
0.390962,0.613668,0
0.365089,0.659693,0.200885
0.165017,0.32357,0.453769
0.96745,0,0.13626
