NoAffS,VL,VC,Time,Result,FTime,FResult,GNoAffS,GVL,GVC,GTime,GResult,GFTime,GFResult
3366.0,1068.0,104.0,,0.0,899.22,0.0,0.9063214013709063,0.0361247947454844,0.09657320872274143,0,0.0,1.0,0.0
1503.0,4624.0,327.0,,0.0,76.88,1.0,0.19687738004569688,0.8702791461412152,0.7912772585669782,0,0.0,7.295719844358253e-05,1.0
1250.0,2965.0,222.0,,0.0,86.26,1.0,0.10053313023610053,0.48111658456486045,0.46417445482866043,0,0.0,0.011478599221789896,1.0
1505.0,2350.0,134.0,,0.0,135.85,1.0,0.19763899466869764,0.3368519821721792,0.19003115264797507,0,0.0,0.07177772373540856,1.0
1712.0,5177.0,394.0,,0.0,89.88,1.0,0.27646610814927647,1.0,1.0,0,0.0,0.015880350194552532,1.0
1828.0,2824.0,250.0,,0.0,186.1,1.0,0.32063975628332064,0.4480412854797091,0.5514018691588785,0,0.0,0.13287937743190661,1.0
2387.0,2458.0,156.0,,0.0,164.29,1.0,0.5335110434120335,0.3621862538118696,0.2585669781931464,0,0.0,0.10635943579766535,1.0
2319.0,3610.0,251.0,,0.0,120.19,1.0,0.5076161462300076,0.6324184846352334,0.5545171339563862,0,0.0,0.05273589494163424,1.0
2577.0,3159.0,257.0,,0.0,159.28,1.0,0.6058644325971059,0.5266244428806005,0.573208722741433,0,0.0,0.10026750972762646,1.0
2686.0,2126.0,179.0,,0.0,889.74,1.0,0.6473724295506473,0.28430682617874736,0.3302180685358255,0,0.0,0.9884727626459143,1.0
986.0,4582.0,345.0,,0.0,85.27,1.0,0.0,0.8604269293924466,0.8473520249221184,0,0.0,0.010274805447470819,1.0
10.0,1155.0,1078.0,,0.0,721.09,1.0,0.043478260869565216,0.9892307692307692,0.9863013698630136,0,0.0,0.8151411616615717,1.0
13.0,1109.0,1030.0,,0.0,324.83,1.0,0.06521739130434782,0.9184615384615384,0.821917808219178,0,0.0,0.02339707087054682,1.0
28.0,1104.0,1028.0,,0.0,320.59,1.0,0.17391304347826086,0.9107692307692308,0.815068493150685,0,0.0,0.014925373134328299,1.0
4.0,1136.0,1060.0,,0.0,718.17,1.0,0.0,0.96,0.9246575342465754,0,0.0,0.8093068792583268,1.0
13.0,1102.0,1026.0,,0.0,324.75,1.0,0.06521739130434782,0.9076923076923077,0.8082191780821918,0,0.0,0.023237227517033297,1.0
25.0,1161.0,1080.0,,0.0,662.36,1.0,0.15217391304347827,0.9984615384615385,0.9931506849315068,0,0.0,0.6977961597634318,1.0
10.0,1152.0,1076.0,,0.0,718.14,1.0,0.043478260869565216,0.9846153846153847,0.9794520547945206,0,0.0,0.8092469380007592,1.0
103.0,617.0,790.0,,0.0,722.93,1.0,0.717391304347826,0.16153846153846155,0.0,0,0.0,0.8188175587923834,1.0
7.0,1161.0,1082.0,,0.0,713.9,1.0,0.021739130434782608,0.9984615384615385,1.0,0,0.0,0.8007752402645407,1.0
124.0,899.0,966.0,,0.0,813.61,1.0,0.8695652173913043,0.5953846153846154,0.6027397260273972,0,0.0,1.0,1.0
28.0,1104.0,1028.0,,0.0,313.12,1.0,0.17391304347826086,0.9107692307692308,0.815068493150685,0,0.0,0.0,1.0
121.0,907.0,972.0,,0.0,738.47,1.0,0.8478260869565217,0.6076923076923076,0.6232876712328768,0,0.0,0.8498671302123919,1.0
133.0,891.0,966.0,,0.0,696.75,1.0,0.9347826086956522,0.583076923076923,0.6027397260273972,0,0.0,0.766508821355072,1.0
28.0,1162.0,1082.0,,0.0,632.65,1.0,0.17391304347826086,1.0,1.0,0,0.0,0.6384343343523347,1.0
55.0,1062.0,1020.0,,0.0,759.58,1.0,0.3695652173913043,0.8461538461538461,0.7876712328767124,0,0.0,0.8920457951207816,1.0
13.0,1109.0,1030.0,,0.0,316.0,1.0,0.06521739130434782,0.9184615384615384,0.821917808219178,0,0.0,0.005754360726488033,1.0
103.0,512.0,790.0,,0.0,760.35,1.0,0.717391304347826,0.0,0.0,0,0.0,0.8935842873983496,1.0
127.0,908.0,974.0,,0.0,770.61,1.0,0.8913043478260869,0.6092307692307692,0.6301369863013698,0,0.0,0.9140841974864633,1.0
136.0,891.0,966.0,,0.0,691.15,1.0,0.9565217391304348,0.583076923076923,0.6027397260273972,0,0.0,0.755319786609123,1.0
31.0,1162.0,1082.0,,0.0,643.1,1.0,0.1956521739130435,1.0,1.0,0,0.0,0.6593138724050431,1.0
70.0,1057.0,1020.0,,0.0,755.46,1.0,0.4782608695652174,0.8384615384615385,0.7876712328767124,0,0.0,0.8838138624148335,1.0
61.0,1060.0,1020.0,,0.0,741.26,1.0,0.41304347826086957,0.8430769230769231,0.7876712328767124,0,0.0,0.8554416671661771,1.0
